unique_count,SaleDateMonth,ownersplitcity
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
37,1," OLD HICKORY"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
1107,1," NASHVILLE"
