YearBuilt,sold_per_year
0,1563
1799,1
1832,1
1870,2
1880,1
1890,1
1893,1
1894,1
1899,93
1900,72
1901,1
1902,2
1903,3
1904,8
1905,9
1906,6
1907,2
1908,3
1909,17
1910,161
1911,3
1912,5
1913,1
1914,1
1915,53
1916,8
1917,9
1918,30
1919,23
1920,559
1921,11
1922,20
1923,55
1924,79
1925,258
1926,68
1927,42
1928,230
1929,88
1930,1005
1931,41
1932,72
1933,72
1934,66
1935,418
1936,89
1937,69
1938,194
1939,76
1940,749
1941,89
1942,89
1943,49
1944,32
1945,392
1946,176
1947,193
1948,538
1949,257
1950,1153
1951,276
1952,291
1953,322
1954,311
1955,1004
1956,469
1957,363
1958,533
1959,413
1960,758
1961,379
1962,458
1963,439
1964,355
1965,386
1966,339
1967,297
1968,321
1969,214
1970,191
1971,245
1972,299
1973,221
1974,176
1975,118
1976,159
1977,188
1978,204
1979,212
1980,153
1981,106
1982,74
1983,315
1984,466
1985,371
1986,300
1987,301
1988,182
1989,149
1990,92
1991,95
1992,59
1993,78
1994,78
1995,84
1996,96
1997,138
1998,87
1999,123
2000,97
2001,73
2002,60
2003,64
2004,81
2005,94
2006,105
2007,105
2008,68
2009,47
2010,36
2011,32
2012,71
2013,297
2014,521
2015,711
2016,595
2017,13
