LandUse,"AVG(n.SalePrice) OVER(PARTITION BY n.LandUse)"
"APARTMENT: LOW RISE (BUILT SINCE 1960)",2000000.0000
CHURCH,887564.5161
"CLUB/UNION HALL/LODGE",150000.0000
"CONVENIENCE MARKET WITHOUT GAS",65000.0000
"DAY CARE CENTER",1577500.0000
"DORMITORY/BOARDING HOUSE",247454.8125
DUPLEX,240280.4732
FOREST,1329660.0000
GREENBELT,722186.8750
"GREENBELT/RES
GRRENBELT/RES",499900.0000
"LIGHT MANUFACTURING",1200000.0000
"MOBILE HOME",36962.5000
NIGHTCLUB/LOUNGE,230000.0000
"NON-PROFIT CHARITABLE SERVICE",377500.0000
"OFFICE BLDG (ONE OR TWO STORIES)",372500.0000
"ONE STORY GENERAL RETAIL STORE",258000.0000
"PARKING LOT",1225336.3636
PARSONAGE,224880.0000
QUADPLEX,304858.3333
"RESIDENTIAL COMBO/MISC",316562.5652
"SINGLE FAMILY",284268.9252
"SPLIT CLASS",581851.1333
"STRIP SHOPPING CENTER",424900.0000
"TERMINAL/DISTRIBUTION WAREHOUSE",121500.0000
TRIPLEX,251191.9762
"VACANT COMMERCIAL LAND",5450000.0000
"VACANT RES LAND",165631.0352
"VACANT RESIDENTIAL LAND",333134.9127
"VACANT RESIENTIAL LAND",418821.0000
"VACANT ZONED MULTI FAMILY",12000.0000
"ZERO LOT LINE",118887.6797
