YearBuilt,avg_sale_price
1799,500000.0000
1832,1550000.0000
1870,567450.0000
1880,80000.0000
1890,617500.0000
1893,279900.0000
1894,549500.0000
1899,433207.2258
1900,302783.1528
1901,380000.0000
1902,368000.0000
1903,216750.3333
1904,373750.0000
1905,351785.0000
1906,303458.3333
1907,323500.0000
1908,580000.0000
1909,448923.5294
1910,391667.4348
1911,405333.3333
1912,650500.0000
1913,912000.0000
1914,415000.0000
1915,333692.4340
1916,381862.5000
1917,307088.8889
1918,507618.3333
1919,267304.0000
1920,321970.8301
1921,437863.6364
1922,406630.6500
1923,317143.2727
1924,309168.4177
1925,378080.2093
1926,366031.0000
1927,393413.3095
1928,300268.1870
1929,481127.5795
1930,312853.9930
1931,292520.7317
1932,307629.1667
1933,311190.0139
1934,235144.1212
1935,298612.7536
1936,396352.6517
1937,477059.0145
1938,349723.0206
1939,460924.0000
1940,266397.0454
1941,354530.7191
1942,297012.0787
1943,290606.1224
1944,312968.7500
1945,267818.7449
1946,274762.1477
1947,221128.2176
1948,236557.9777
1949,238076.4591
1950,240430.3842
1951,274841.3659
1952,261923.8557
1953,244079.2671
1954,247794.3730
1955,239721.9562
1956,250445.9104
1957,230005.0882
1958,236545.3471
1959,250810.1743
1960,234314.1755
1961,246834.7573
1962,217525.3122
1963,229050.1686
1964,240733.1549
1965,231309.6347
1966,234746.5929
1967,230469.0438
1968,219313.1620
1969,250623.8084
1970,249606.2199
1971,209904.8367
1972,188777.5418
1973,251807.0362
1974,186068.6364
1975,181191.6525
1976,242109.6101
1977,203567.3511
1978,239999.6422
1979,169842.3868
1980,262129.5882
1981,187830.3585
1982,199478.5811
1983,167529.9016
1984,148405.2318
1985,159567.7439
1986,165677.7967
1987,222019.5482
1988,251196.2308
1989,199768.1208
1990,274027.1630
1991,255449.1579
1992,235985.6441
1993,329075.6410
1994,295530.1282
1995,303132.1310
1996,339752.7292
1997,227455.6377
1998,343189.5172
1999,284703.2927
2000,359814.2680
2001,247383.5753
2002,348095.0833
2003,335336.2656
2004,610704.6543
2005,653528.2340
2006,556827.1524
2007,620339.0571
2008,593699.3529
2009,687674.4681
2010,546097.8333
2011,757753.1250
2012,556764.8028
2013,403980.3367
2014,360381.6296
2015,393637.1139
2016,364613.2689
2017,419734.4615
